initial equation: 1.848x-0.832y-59.947=0
learning rate: 0.0004
(T=  1) equation: 1.055x-0.999y-59.958=0, error: 23.00%
(T=149) equation: 0.972x-1.072y-59.895=0, error: 14.00%
(T=150) equation: 0.968x-1.072y-59.894=0, error: 14.00%
(T=151) equation: 0.966x-1.072y-59.894=0, error: 13.00%
(T=152) equation: 0.964x-1.073y-59.893=0, error: 12.00%
(T=153) equation: 0.961x-1.073y-59.893=0, error: 12.00%
(T=154) equation: 0.959x-1.073y-59.893=0, error: 12.00%
(T=155) equation: 0.959x-1.072y-59.892=0, error: 12.00%
(T=156) equation: 0.958x-1.071y-59.892=0, error: 12.00%
(T=157) equation: 0.958x-1.070y-59.891=0, error: 12.00%
(T=158) equation: 0.957x-1.070y-59.891=0, error: 12.00%
(T=159) equation: 0.957x-1.069y-59.891=0, error: 12.00%
(T=160) equation: 0.956x-1.068y-59.890=0, error: 12.00%
(T=161) equation: 0.956x-1.067y-59.890=0, error: 12.00%
(T=162) equation: 0.952x-1.070y-59.889=0, error: 12.00%
(T=163) equation: 0.948x-1.072y-59.889=0, error: 12.00%
(T=164) equation: 0.976x-1.071y-59.888=0, error: 15.00%
(T=165) equation: 0.972x-1.071y-59.888=0, error: 14.00%
(T=166) equation: 0.968x-1.071y-59.887=0, error: 14.00%
(T=167) equation: 0.966x-1.072y-59.887=0, error: 13.00%
(T=168) equation: 0.964x-1.072y-59.887=0, error: 12.00%
(T=169) equation: 0.961x-1.072y-59.886=0, error: 12.00%
(T=170) equation: 0.959x-1.072y-59.886=0, error: 12.00%
(T=171) equation: 0.959x-1.071y-59.885=0, error: 12.00%
(T=172) equation: 0.958x-1.070y-59.885=0, error: 12.00%
(T=173) equation: 0.958x-1.070y-59.885=0, error: 12.00%
(T=174) equation: 0.957x-1.069y-59.884=0, error: 12.00%
(T=175) equation: 0.957x-1.068y-59.884=0, error: 12.00%
(T=176) equation: 0.956x-1.067y-59.883=0, error: 12.00%
(T=177) equation: 0.956x-1.066y-59.883=0, error: 12.00%
(T=178) equation: 0.952x-1.069y-59.883=0, error: 12.00%
(T=179) equation: 0.948x-1.071y-59.882=0, error: 12.00%
(T=180) equation: 0.976x-1.070y-59.881=0, error: 15.00%
(T=181) equation: 0.972x-1.070y-59.881=0, error: 14.00%
(T=182) equation: 0.968x-1.071y-59.881=0, error: 14.00%
(T=183) equation: 0.966x-1.071y-59.880=0, error: 13.00%
(T=184) equation: 0.963x-1.071y-59.880=0, error: 12.00%
(T=185) equation: 0.961x-1.071y-59.879=0, error: 12.00%
(T=186) equation: 0.959x-1.071y-59.879=0, error: 12.00%
(T=187) equation: 0.959x-1.070y-59.879=0, error: 12.00%
